Name,Price,ASIN,Best Sellers Rank,Date First Available,Packer,Importer,Item Dimensions LxWxH,Net Quantity,Generic Name,Number of Ratings,Customer Rating
"ASUS Vivobook 16X (2022), 16.0-inch (40.64 cms) FHD+ 16:10, AMD Ryzen 5 5600H, Thin and Laptop (8GB/512GB SSD/Integrated Graphics/Windows 11/Office 2021/Silver/1.80 kg), M1603QA-MB501WS",48999.0,B0B8ZT96HS,"4,253 in Electronics (See Top 100 in Electronics) 31 in Traditional Laptops",7 August 2022,"TECH FRONT ( CHONGQING) Computer Co. Ltd, NO 18 , Zongbao Road, Shapingba Dist,Chongquing, China","ASUS INDIA PRIVATE LIMITED, 402, Supreme chambers, 17/18, Shah Industrial Estate, Veer Desai Road, Andheri (west), Mumbai 400053, India",24.8 x 35.8 x 2 Centimeters,1 Count,Laptop,28.0,4.4
"Lenovo E41-55 AMD 14-inch HD 220 Nits Antiglare Thin and Light Laptop (AMD Athlon A3150U/4GB RAM/256GB HDD/DOS/Integrated AMD Graphics/Grey/1 Year Onsite/1.59 kg), 82FJ00AGIH",18990.0,B0B65NN833,"1,441 in Computers & Accessories (See Top 100 in Computers & Accessories) 35 in Traditional Laptops",9 July 2022,"Compal Information Technology ( KUNSHUN) co.ltd No.58 First Avenue, A Zone KUNSHAN Comprehensive Free Trade Zone, KUNSHAN, Jiangsu China","Lenovo India Pvt Ltd RBD Icon, 2nd Floor, Doddenekundi Marathaalli Outer Ring Road Bangalore, India 560037",23 x 33 x 2 Centimeters,1 Case,Laptop,12.0,3.9
"Lenovo (Renewed) Thinkpad T440-i5-8 GB-500 GB 14-inch Laptop (4th Gen Core i5/8GB/500GB HDD/Windows 7/Integrated Graphics), Black",,B07S3VLQZR,"1,180 in Computers & Accessories (See Top 100 in Computers & Accessories) 6 in For the Cricket Frenzy 23 in Holi Renewed 26 in Traditional Laptops",20 May 2019,,,20 x 20 x 8 Centimeters,,,10.0,2.4
"Acer Extensa 15 Lightweight Laptop Intel Core i3 11th Gen Processor (4 GB RAM/256GB SSD/Windows 11 Home/Intel UHD Graphics /1.7Kg/Black) EX215-54 with 15.6"" (39.6 cms) Full HD Display",30490.0,B09STHP9PX,"23,889 in Electronics (See Top 100 in Electronics) 236 in Traditional Laptops",18 February 2022,"Compal Electronics Pvt Ltd, No.D01, Zone D, Air Port Section of LiangLu CunTan Free Trade Port Area, YuBei District, Chongqing, China","ACER INDIA PRIVATE LIMITED Embassy Heights, 6th Floor, No. 13 Magrath Road, Next to HOSMAT Hospital, Bangalore, INDIA – 560025",23.8 x 36.3 x 2 Centimeters,1 Piece,Laptops,552.0,4.0
"MSI Cyborg 15, Intel 12th Gen. i7-12650H, 40CM FHD 144Hz Gaming Laptop (16GB/512GB NVMe SSD/Windows 11 Home/Nvidia GeForce RTX4060, 8GB GDDR6/Translucent Black/1.98Kg), A12VF-069IN",124837.0,B0BW9GMQV6,"10,935 in Computers & Accessories (See Top 100 in Computers & Accessories) 359 in Traditional Laptops",20 February 2023,"Micro-Star International Co., Ltd. No. 88 East Qianjin Road, Kunshan City, Jiangsu, China","Micro-Star International Co., Ltd. No. 88 East Qianjin Road, Kunshan City, Jiangsu, China",35.9 x 25 x 2.3 Centimeters,1 Pack,Laptop,,
"HP 15s-Ryzen 3 3250U 8GB SDRAM/256GB SSD 15.6inch(39.6cm) HD, Micro-Edge Laptop/AMD Radeon Graphics/Dual Speakers/Win 11 Home/MS Office/Fast Charge/Jet Black/1.69Kg, 15s-ey1508AU",33490.0,B0BJ2LZXD9,"1,621 in Computers & Accessories (See Top 100 in Computers & Accessories) 47 in Traditional Laptops",13 October 2022,HP India Sales Pvt Ltd,HP India Sales Pvt Ltd,35.9 x 24.2 x 1.8 Centimeters,1 Pack,Laptop,114.0,3.4
"Honor MagicBook 15, AMD Ryzen 5 5500U 15.6-inch (39.62 cm) FHD IPS Anti-Glare Thin and Light Laptop (8GB/256GB PCIe SSD/Windows 11/ Metal Body/Fingerprint Login/1.54Kg), Gray, BohrM-WDQ9CHNE",39490.0,B0BC9S5DLW,"2,805 in Electronics (See Top 100 in Electronics) 15 in Traditional Laptops",21 September 2022,"Address: Tech-Front (Chongqing) Computer Co., Ltd. No. 18, ZongBao Road, Shapingba District Chongqing , CHINA CHONGQING,China-401332 E-mail: vince.chen@quantatw.com","Address : PSAV Global Tech Private Limited BR-12, Sector-45, Noida, Gautam Buddha Nagar, U.P. 201301, India Customer Care No.: 18003098970 E-mail: customersupport@psavglobaltech.com",17 x 230 x 357 Millimeters,1 Count,Laptop,479.0,4.3
"Lenovo IdeaPad Slim 3 Intel Core i3 12th Gen 15.6"" (39.62cm) FHD Thin & Light Laptop (8GB/512GB SSD/Windows 11/Office 2021/2Yr Warranty/3months Game Pass/Arctic Grey/1.63Kg), 82RK006DIN",45990.0,B0B4JPC8GT,"13,459 in Electronics (See Top 100 in Electronics) 135 in Traditional Laptops",20 June 2022,"One of the below: Hefei Bitland Information Technology Co.,Ltd - No.4088 Jiuxiu Road National Hefei economic & technology development area Hefei Anhui China LCFC（Hefei) Electronics Technology Co., Ltd. - NO.1-3188,YUNGU ROAD, HEFEI EXPORT PROCESSING ZONE. ANHUI PROVINCE,CHINA  Tech-Com(Shanghai) Computer Co Ltd - No.6 Ln.58,San-Zhuang Rd., Songjiang EPZ ShangHai, China Wistron InfoComm (Kunshan) Co.Ltd - 168# First Avenue, Kunshan Export Processing Zone, Kunshan, Jiangsu, China Compal information technology (kunshan) CO., LTD. - Address: No. 58, the 1st street, Kunshan Export Processing Zone, Jiangsu, P.R.O.C. CHINA Kunshan Hichain storage Co. Ltd - No. 88 Xinxiang Road  Avenue Kunshan CBZ Wujiang Hichain warehousing LTD - No.2088 Pangjin road, Wujiang economic development area,  Jiangsu, China","Lenovo (India) Private Limited, RBD Icon, Level 2, Doddenakundi Village, Marathahalli Outer Ring Road, K. R. Puram Hobli, Bangalore 560037, Karnataka, India",35.9 x 23.7 x 2 Centimeters,1 Piece,Laptop,46.0,4.0
"HP Victus Gaming Laptop 11th Gen Intel Core i5-11400H16.1 inch(40.9 cm) FHD IPS Gaming Laptop(16GB RAM/512GB SSD/NVIDIA GeForce GTX 1650 graphics/144Hz/Backlit KB/Wi11/MSO/B&O/Alexa),16-d0311TX",65990.0,B0BSFZZKC1,"8,474 in Electronics (See Top 100 in Electronics) 88 in Traditional Laptops",16 January 2023,HP India Sales Pvt. Ltd.,HP India Sales Pvt. Ltd.,37 x 26.2 x 2.4 Centimeters,,Laptop,7.0,5.0
"Honor MagicBook 14, AMD Ryzen 5 5500U 14-inch (35.56 cm) FHD IPS Anti-Glare Thin and Light Laptop (16GB/512GB PCIe SSD/Windows 11/Fingerprint Login/Metal Body/Backlit KB/1.38Kg), Gray, NobelM-WFQ9AHNE",,B0BC9R8XYZ,"2,532 in Electronics (See Top 100 in Electronics) 14 in Traditional Laptops",21 September 2022,"Address: Tech-Front (Chongqing) Computer Co., Ltd. No. 18, ZongBao Road, Shapingba District Chongqing , CHINA CHONGQING,China-401332 E-mail: vince.chen@quantatw.com","Address : PSAV Global Tech Private Limited BR-12, Sector-45, Noida, Gautam Buddha Nagar, U.P. 201301, India Customer Care No.: 18003098970 E-mail: customersupport@psavglobaltech.com",16 x 215 x 323 Millimeters,1 Count,Laptop,479.0,4.3
"Honor MagicBook 14, AMD Ryzen 5 5500U 14-inch (35.56 cm) FHD IPS Anti-Glare Thin and Light Laptop (16GB/512GB PCIe SSD/Windows 11/Fingerprint Login/Metal Body/Backlit KB/1.38Kg), Gray, NobelM-WFQ9AHNE",,B0BC9R8XYZ,"2,532 in Electronics (See Top 100 in Electronics) 14 in Traditional Laptops",21 September 2022,"Address: Tech-Front (Chongqing) Computer Co., Ltd. No. 18, ZongBao Road, Shapingba District Chongqing , CHINA CHONGQING,China-401332 E-mail: vince.chen@quantatw.com","Address : PSAV Global Tech Private Limited BR-12, Sector-45, Noida, Gautam Buddha Nagar, U.P. 201301, India Customer Care No.: 18003098970 E-mail: customersupport@psavglobaltech.com",16 x 215 x 323 Millimeters,1 Count,Laptop,479.0,4.3
"Lenovo IdeaPad D330 Intel Celeron N4020 10.1"" (25cm) HD IPS Detachable 2-in-1 Laptop (4GB/128GB eMMC/Windows 10/1 Yr Warranty/Mineral Grey/1.1Kg), 82H0001YIN",21797.0,B09SV2B5SR,"3,442 in Electronics (See Top 100 in Electronics) 20 in Traditional Laptops",18 February 2022,"One of the below: Hefei Bitland Information Technology Co.,Ltd - No.4088 Jiuxiu Road National Hefei economic & technology development area Hefei Anhui China LCFC（Hefei) Electronics Technology Co., Ltd. - NO.1-3188,YUNGU ROAD, HEFEI EXPORT PROCESSING ZONE. ANHUI PROVINCE,CHINA  Tech-Com(Shanghai) Computer Co Ltd - No.6 Ln.58,San-Zhuang Rd., Songjiang EPZ ShangHai, China Wistron InfoComm (Kunshan) Co.Ltd - 168# First Avenue, Kunshan Export Processing Zone, Kunshan, Jiangsu, China Compal information technology (kunshan) CO., LTD. - Address: No. 58, the 1st street, Kunshan Export Processing Zone, Jiangsu, P.R.O.C. CHINA Kunshan Hichain storage Co. Ltd - No. 88 Xinxiang Road  Avenue Kunshan CBZ Wujiang Hichain warehousing LTD - No.2088 Pangjin road, Wujiang economic development area,  Jiangsu, China","Lenovo (India) Private Limited, RBD Icon, Level 2, Doddenakundi Village, Marathahalli Outer Ring Road, K. R. Puram Hobli, Bangalore 560037, Karnataka, India",24.9 x 17.8 x 1 Centimeters,1 Piece,Laptop,448.0,3.8
Lenovo V14-IGL Laptop Intel Celeron N4020/4GB DDR4 RAM/256GB SSD/DOS/14.0 HD/ Intel UHD Graphics 600/1 Year Warranty,19999.0,B096W32J51,"4,093 in Computers & Accessories (See Top 100 in Computers & Accessories) 136 in Traditional Laptops",9 February 2023,Lenovo,Lenovo,24.1 x 32.7 x 2 Centimeters,1 Set,Lenovo V14-IGL,,
"Lenovo IdeaPad Slim 3 Intel Core i3-1115G4 11th Gen 15.6"" (39.62cm) FHD Laptop (8GB/256GB SSD/Win 11/Office 2021/2 Year Warranty/3 Month Game Pass/Platinum Grey/1.7Kg), 81X800LCIN",33990.0,B0B9YHX39M,"1,250 in Electronics (See Top 100 in Electronics) 2 in Traditional Laptops",17 August 2022,"One of the below: Hefei Bitland Information Technology Co.,Ltd - No.4088 Jiuxiu Road National Hefei economic & technology development area Hefei Anhui China LCFC（Hefei) Electronics Technology Co., Ltd. - NO.1-3188,YUNGU ROAD, HEFEI EXPORT PROCESSING ZONE. ANHUI PROVINCE,CHINA  Tech-Com(Shanghai) Computer Co Ltd - No.6 Ln.58,San-Zhuang Rd., Songjiang EPZ ShangHai, China Wistron InfoComm (Kunshan) Co.Ltd - 168# First Avenue, Kunshan Export Processing Zone, Kunshan, Jiangsu, China Compal information technology (kunshan) CO., LTD. - Address: No. 58, the 1st street, Kunshan Export Processing Zone, Jiangsu, P.R.O.C. CHINA Kunshan Hichain storage Co. Ltd - No. 88 Xinxiang Road  Avenue Kunshan CBZ Wujiang Hichain warehousing LTD - No.2088 Pangjin road, Wujiang economic development area,  Jiangsu, China","Lenovo (India) Private Limited, RBD Icon, Level 2, Doddenakundi Village, Marathahalli Outer Ring Road, K. R. Puram Hobli, Bangalore 560037, Karnataka, India",36.2 x 25.3 x 2 Centimeters,1 Piece,Laptop,84.0,4.0
"ASUS VivoBook 15 (2021), 15.6-inch (39.62 cm) HD, Dual Core Intel Celeron N4020, Thin and Light Laptop (4GB RAM/256GB SSD/Integrated Graphics/Windows 11 Home/Transparent Silver/1.8 Kg), X515MA-BR011W",25990.0,B09SGGB687,980 in Computers & Accessories (See Top 100 in Computers & Accessories) 18 in Traditional Laptops,13 February 2022,"TECH FRONT ( CHONGQING) Computer Co. Ltd, NO 18 , Zongbao Road, Shapingba Dist,Chongquing, China","ASUS INDIA PRIVATE LIMITED, 402, Supreme chambers, 17/18, Shah Industrial Estate, Veer Desai Road, Andheri (west), Mumbai 400053, India",23.5 x 36 x 2 Centimeters,1 count,Laptop,840.0,4.0
"Lenovo ThinkBook 15 AMD Ryzen 5 5500U 15.6"" (39.62cm) FHD 220 nits Antiglare Thin and Light Laptop (8GB/512GB SSD/Windows 11/MS Office/Mineral Grey/1.7 Kg), 21A4A09UIH",45990.0,B0B1DK542Q,"22,087 in Electronics (See Top 100 in Electronics) 220 in Traditional Laptops",16 May 2022,"Compal Information Technology ( KUNSHUN) co.ltd No.58 First Avenue, A Zone KUNSHAN Comprehensive Free Trade Zone, KUNSHAN, Jiangsu China","Lenovo India Pvt Ltd RBD Icon, 2nd Floor, Doddenekundi Marathaalli Outer Ring Road Bangalore, India 560037",23.5 x 35.7 x 1.9 Centimeters,1 Case,Laptop,83.0,3.9
"Honor MagicBook 15, AMD Ryzen 5 5500U 15.6-inch (39.62 cm) FHD IPS Anti-Glare Thin and Light Laptop (8GB/256GB PCIe SSD/Windows 11/ Metal Body/Fingerprint Login/1.54Kg), Gray, BohrM-WDQ9CHNE",39490.0,B0BC9S5DLW,"2,805 in Electronics (See Top 100 in Electronics) 15 in Traditional Laptops",21 September 2022,"Address: Tech-Front (Chongqing) Computer Co., Ltd. No. 18, ZongBao Road, Shapingba District Chongqing , CHINA CHONGQING,China-401332 E-mail: vince.chen@quantatw.com","Address : PSAV Global Tech Private Limited BR-12, Sector-45, Noida, Gautam Buddha Nagar, U.P. 201301, India Customer Care No.: 18003098970 E-mail: customersupport@psavglobaltech.com",17 x 230 x 357 Millimeters,1 Count,Laptop,479.0,4.3
"HP 15s-Ryzen 3 3250U 8GB SDRAM/256GB SSD 15.6inch(39.6cm) HD, Micro-Edge Laptop/AMD Radeon Graphics/Dual Speakers/Win 11 Home/MS Office/Fast Charge/Jet Black/1.69Kg, 15s-ey1508AU",33490.0,B0BJ2LZXD9,"1,621 in Computers & Accessories (See Top 100 in Computers & Accessories) 47 in Traditional Laptops",13 October 2022,HP India Sales Pvt Ltd,HP India Sales Pvt Ltd,35.9 x 24.2 x 1.8 Centimeters,1 Pack,Laptop,114.0,3.4
"HP 255 G8 Laptop with AMD Athlon Silver 3050U APU/ 8GB Ram/ 1TB HDD/DOS/AMD Radeon Vega 8 Mobile Graphics/39.6 cm HD (1366 x 768), SVA, Anti-Glare WLED/Black/1 Year Onsite Warranty",27990.0,B09N7TY7VL,"3,677 in Computers & Accessories (See Top 100 in Computers & Accessories) 116 in Traditional Laptops",15 December 2022,HP,HP,24.2 x 35.8 x 2 Centimeters,1 Set,HP 255 G8,26.0,3.4
"Lenovo IdeaPad Gaming 3 Intel Core i5 11th Gen 15.6"" (39.62cm) FHD IPS Gaming Laptop (8GB/512GB SSD/4GB NVIDIA GTX 1650/120Hz/Win 11/Backlit/3months Game Pass/Shadow Black/2.25Kg), 82K10198IN",55990.0,B0B4JQ9X9C,"15,053 in Electronics (See Top 100 in Electronics) 157 in Traditional Laptops",5 July 2022,"One of the below: Hefei Bitland Information Technology Co.,Ltd - No.4088 Jiuxiu Road National Hefei economic & technology development area Hefei Anhui China LCFC（Hefei) Electronics Technology Co., Ltd. - NO.1-3188,YUNGU ROAD, HEFEI EXPORT PROCESSING ZONE. ANHUI PROVINCE,CHINA  Tech-Com(Shanghai) Computer Co Ltd - No.6 Ln.58,San-Zhuang Rd., Songjiang EPZ ShangHai, China Wistron InfoComm (Kunshan) Co.Ltd - 168# First Avenue, Kunshan Export Processing Zone, Kunshan, Jiangsu, China Compal information technology (kunshan) CO., LTD. - Address: No. 58, the 1st street, Kunshan Export Processing Zone, Jiangsu, P.R.O.C. CHINA Kunshan Hichain storage Co. Ltd - No. 88 Xinxiang Road  Avenue Kunshan CBZ Wujiang Hichain warehousing LTD - No.2088 Pangjin road, Wujiang economic development area,  Jiangsu, China","Lenovo (India) Private Limited, RBD Icon, Level 2, Doddenakundi Village, Marathahalli Outer Ring Road, K. R. Puram Hobli, Bangalore 560037, Karnataka, India",36 x 25.2 x 2.4 Centimeters,1 Piece,Laptop,473.0,4.1
"Lenovo E41-55 AMD 14-inch HD 220 Nits Antiglare Thin and Light Laptop (AMD Athlon A3150U/4GB RAM/256GB HDD/DOS/Integrated AMD Graphics/Grey/1 Year Onsite/1.59 kg), 82FJ00AGIH",18990.0,B0B65NN833,"1,441 in Computers & Accessories (See Top 100 in Computers & Accessories) 35 in Traditional Laptops",9 July 2022,"Compal Information Technology ( KUNSHUN) co.ltd No.58 First Avenue, A Zone KUNSHAN Comprehensive Free Trade Zone, KUNSHAN, Jiangsu China","Lenovo India Pvt Ltd RBD Icon, 2nd Floor, Doddenekundi Marathaalli Outer Ring Road Bangalore, India 560037",23 x 33 x 2 Centimeters,1 Case,Laptop,12.0,3.9
